===============================================================
Gobuster v3.1.0
by OJ Reeves (@TheColonial) & Christian Mehlmauer (@firefart)
===============================================================
[+] Url:                     http://10.10.114.119
[+] Method:                  POST
[+] Threads:                 30
[+] Wordlist:                /usr/share/wordlists/dirbuster/directory-list-2.3-medium.txt
[+] Negative Status codes:   404
[+] User Agent:              gobuster/3.1.0
[+] Timeout:                 10s
===============================================================
2022/07/10 15:49:18 Starting gobuster in directory enumeration mode
===============================================================
/newsletter           (Status: 501) [Size: 497]
/stats                (Status: 501) [Size: 497]
/careers              (Status: 501) [Size: 497]
/pages                (Status: 501) [Size: 497]
/music                (Status: 501) [Size: 497]
/publications         (Status: 501) [Size: 497]
/calendar             (Status: 501) [Size: 497]
/technology           (Status: 501) [Size: 497]
/stories              (Status: 501) [Size: 497]
/data                 (Status: 501) [Size: 497]
/photos               (Status: 501) [Size: 497]
/community            (Status: 501) [Size: 497]
/papers               (Status: 501) [Size: 497]
/history              (Status: 501) [Size: 497]
/www                  (Status: 501) [Size: 497]
/submit               (Status: 501) [Size: 497]
/web                  (Status: 501) [Size: 497]
/s                    (Status: 501) [Size: 497]
/arrow                (Status: 501) [Size: 497]
/library              (Status: 501) [Size: 497]
/wiki                 (Status: 501) [Size: 497]
/education            (Status: 501) [Size: 497]
/header               (Status: 501) [Size: 497]
/internet             (Status: 501) [Size: 497]
/go                   (Status: 501) [Size: 497]
/in                   (Status: 501) [Size: 497]
/b                    (Status: 501) [Size: 497]
/advertise            (Status: 501) [Size: 497]
/spam                 (Status: 501) [Size: 497]
/a                    (Status: 501) [Size: 497]
/users                (Status: 501) [Size: 497]
/nav                  (Status: 501) [Size: 497]
/topics               (Status: 501) [Size: 497]
/Images               (Status: 501) [Size: 497]
/mail                 (Status: 501) [Size: 497]
/disclaimer           (Status: 501) [Size: 497]
/store                (Status: 501) [Size: 497]
/members              (Status: 501) [Size: 497]
/clear                (Status: 501) [Size: 497]
/c                    (Status: 501) [Size: 497]
/feeds                (Status: 501) [Size: 497]
/awards               (Status: 501) [Size: 497]
/2002                 (Status: 501) [Size: 497]
/Default              (Status: 501) [Size: 497]
/general              (Status: 501) [Size: 497]
/dir                  (Status: 501) [Size: 497]
/pics                 (Status: 501) [Size: 497]
/solutions            (Status: 501) [Size: 497]
/map                  (Status: 501) [Size: 497]
/signup               (Status: 501) [Size: 497]
/News                 (Status: 501) [Size: 497]
/doc                  (Status: 501) [Size: 497]
/weblog               (Status: 501) [Size: 497]
/public               (Status: 501) [Size: 497]
/index2               (Status: 501) [Size: 497]
/homepage             (Status: 501) [Size: 497]
/contacts             (Status: 501) [Size: 497]
/shop                 (Status: 501) [Size: 497]
/de                   (Status: 501) [Size: 497]
/button               (Status: 501) [Size: 497]
/fr                   (Status: 501) [Size: 497]
/list                 (Status: 501) [Size: 497]
/viewtopic            (Status: 501) [Size: 497]
/travel               (Status: 501) [Size: 497]
/documents            (Status: 501) [Size: 497]
/pixel                (Status: 501) [Size: 497]
/overview             (Status: 501) [Size: 497]
/tips                 (Status: 501) [Size: 497]
/contact_us           (Status: 501) [Size: 497]
/adclick              (Status: 501) [Size: 497]
/wp-content           (Status: 501) [Size: 497]
/catalog              (Status: 501) [Size: 497]
/us                   (Status: 501) [Size: 497]
/movies               (Status: 501) [Size: 497]
/p                    (Status: 501) [Size: 497]
/staff                (Status: 501) [Size: 497]
/wireless             (Status: 501) [Size: 497]
/hardware             (Status: 501) [Size: 497]
/global               (Status: 501) [Size: 497]
/apps                 (Status: 501) [Size: 497]
/online               (Status: 501) [Size: 497]
/screenshots          (Status: 501) [Size: 497]
/directory            (Status: 501) [Size: 497]
/other                (Status: 501) [Size: 497]
/mobile               (Status: 501) [Size: 497]
/version              (Status: 501) [Size: 497]
/admin                (Status: 501) [Size: 497]
/advertising          (Status: 501) [Size: 497]
/welcome              (Status: 501) [Size: 497]
/t                    (Status: 501) [Size: 497]
/tech                 (Status: 501) [Size: 497]
/faqs                 (Status: 501) [Size: 497]
/policy               (Status: 501) [Size: 497]
/training             (Status: 501) [Size: 497]
/link                 (Status: 501) [Size: 497]
/2001                 (Status: 501) [Size: 497]
/releases             (Status: 501) [Size: 497]
/member               (Status: 501) [Size: 497]
